"cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r.","cyanob","biofv","bi","miniacina_sp_.j.","disporella_novaehollandiae","msp3_sp","sp","msp15_sp","msp12_sp","sowt","tubulipora_sp.","msp20_sp","msp1_ascs","crisia_elongata","msp14_bryo","msp4_ascc","msp9_sp","miniacina_sp_.a.","rdup","msp15_ascc","msp11_ascc","form","msp8_ascc","msp1_ascc","watersipora_subtorquata"
25,45,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.783,0,13.044,8.695,4.348,13.044,13.044,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,4.348
37.931,6.897,3.448,0,0,6.897,3.448,0,6.897,0,3.448,6.897,0,0,24.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,2.5,42.502,7.5,2.5,0,10,2.5,0,10,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
25.001,55,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
22.582,9.677,16.129,3.226,3.226,6.451,6.451,3.226,3.226,0,3.226,0,6.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.226,0,0
29.411,20.588,5.883,0,5.883,0,0,2.941,5.883,0,0,2.941,0,0,0,0,0,11.764,0,14.706,0,0,0,0,0,0,0,0,0,0,0
30.555,2.778,19.445,16.667,2.778,8.333,0,2.778,0,0,2.778,0,0,0,0,0,0,0,0,13.889,0,0,0,0,0,0,0,0,0,0,0
33.333,38.095,14.285,4.762,0,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8.333,12.501,4.166,0,8.333,0,12.501,0,0,0,0,0,0,0,0,0,0,4.166,0,0,0,0,0,0,0,0,0,4.166,0,0
30.303,21.213,0,0,3.031,9.09,0,9.09,0,0,0,3.031,0,0,0,0,0,0,0,24.243,0,0,0,0,0,0,0,0,0,0,0
28.947,5.264,15.789,18.421,2.632,2.632,2.632,2.632,0,0,2.632,0,0,0,0,0,7.894,0,0,10.526,0,0,0,0,0,0,0,0,0,0,0
30.769,30.769,7.692,3.847,7.692,7.692,0,0,0,0,0,11.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.622,5.406,16.216,21.622,0,0,2.703,8.108,0,0,0,0,0,0,0,0,0,0,10.811,0,0,0,0,0,0,0,0,0,0,0,0
31.818,13.637,0,0,0,0,4.545,0,0,0,0,0,0,0,4.545,0,0,0,0,27.273,0,0,0,0,0,0,0,0,0,0,0
15.909,11.364,6.818,13.636,6.818,6.818,0,4.546,0,0,6.818,9.091,0,0,4.546,0,2.272,0,0,6.818,0,0,0,0,0,0,0,0,0,0,0
16.666,45.834,8.333,0,4.167,4.167,0,4.167,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0
16.668,4.166,8.333,29.168,12.5,0,0,8.333,0,0,0,4.166,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,36,8,0,8,0,12,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
12.902,9.678,48.387,3.226,6.452,0,3.226,6.452,0,0,0,3.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.435,43.479,4.348,4.348,4.348,0,0,0,8.694,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.907,0,4.547,9.09,9.09,0,0,13.637,0,0,0,0,0,0,0,0,0,4.547,0,0,0,0,0,0,0,0,0,0,0,0,0
20.833,20.833,20.833,0,0,4.167,0,0,8.333,0,4.167,0,0,0,0,4.167,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0
21.277,0,2.128,4.255,8.511,6.383,0,0,4.255,0,0,0,0,31.915,0,0,0,8.511,0,12.766,0,0,0,0,0,0,0,0,0,0,0
36.363,45.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.636,0,0,0,0,0,0,4.545,0,0,0,0,0
61.112,5.554,0,0,0,0,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.554,0,0,0,0
42.307,15.383,7.693,0,0,7.693,0,0,11.537,0,0,7.693,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.427,0,3.572,0,0,21.429,0,3.572,0,0,0,0,0,3.572,0,0,0,3.572,0,17.857,0,0,0,0,0,0,0,0,0,0,0
35.999,4,0,0,0,4,4,4,4,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
29.168,4.167,12.5,12.5,4.167,4.167,4.167,0,0,0,0,0,4.167,0,0,0,4.167,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0
52.173,4.348,13.042,4.348,8.696,8.696,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0
14.285,2.858,11.428,14.285,11.428,14.285,0,2.858,2.858,0,0,0,0,0,0,0,0,0,0,14.285,0,5.715,0,0,0,0,0,0,0,0,0
35,45,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.216,18.919,8.108,13.514,16.216,0,2.703,5.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405,0,0,0,8.108
29.032,3.226,3.226,16.129,9.677,0,9.677,0,0,22.581,0,6.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.66,10.638,10.638,0,19.149,2.128,8.51,0,0,21.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.111,22.222,0,7.407,0,0,22.222,3.704,0,7.407,0,3.704,0,0,11.111,0,0,0,0,11.111,0,0,0,0,0,0,0,0,0,0,0
27.588,10.344,3.448,17.242,10.344,0,3.448,0,0,0,0,0,0,0,3.448,0,0,0,6.896,0,0,0,0,0,0,0,3.448,0,3.448,0,3.448
46.429,0,0,3.571,0,0,3.571,0,0,0,0,0,0,0,28.571,0,0,3.571,0,3.571,0,0,0,0,0,0,0,0,0,0,0
31.818,2.273,2.273,0,4.545,11.364,0,0,0,0,2.273,2.273,0,6.818,0,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,0,0
18.52,25.927,0,7.407,0,3.703,7.407,0,0,3.703,0,0,0,7.407,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.258,9.677,0,9.677,16.129,0,0,3.226,0,0,0,0,0,0,3.226,0,0,0,0,0,0,12.903,0,0,0,0,0,0,0,0,0
61.537,19.23,0,0,7.693,0,0,0,0,0,0,3.846,0,0,7.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.73,40.541,8.108,0,10.811,2.703,0,0,0,5.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.703,0,0
46.424,3.572,10.714,0,3.572,0,3.572,0,0,0,3.572,3.572,3.572,0,3.572,3.572,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0
28.125,12.5,3.125,0,18.75,0,12.5,9.375,0,0,0,0,0,3.125,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0
20.93,0,2.326,0,0,0,13.954,9.302,0,0,4.652,25.581,0,0,0,0,0,2.326,0,0,0,0,6.976,0,2.326,0,0,0,0,0,0
14.286,19.048,9.523,7.142,11.905,0,7.142,4.762,0,0,9.523,2.381,2.381,0,4.762,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0
54.545,31.819,0,0,0,0,9.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0
48.275,6.896,3.449,0,10.345,0,20.69,0,0,0,0,6.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.857,7.143,0,0,0,0,14.285,0,0,0,0,10.713,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,3.572,0,0,0
51.351,2.703,8.108,2.703,8.108,5.406,0,0,2.703,18.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
