"","cca","cawt","hyd","miniacina_sp_.j.","biofr","msp5_bryo","biofv","cyanob","disporella_novaehollandiae","miniacina_miniacea_.r.","sp","bi","sowt","tubulipora_sp.","msp8_ascc","msp4_ascc","msp5_ascs","rdup","root_barn","crisia_elongata","watersipora_subtorquata"
"CINA1A",27.313,5.1618125,16.9379375,12.6051875,3.6680625,3.3865,7.5515625,0.25,2.916375,0.34725,0.2604375,0.1524375,1.2525,0,0.922625,4.4528125,3.7718125,0,0,0.4500625,0.297625
"CINA1B",23.731125,11.5454375,11.90875,15.01525,11.9590625,3.889125,5.6331875,0.412625,1.73525,0.1894375,0.2840625,0.27175,0.22325,0,0.297625,0.9785,1.6285625,0,1.1128125,0.99625,0.4464375
"CINA1C",31.87125,8.2865,11.7843125,12.6595,6.7795625,8.3356875,5.8850625,0.895625,2.4278125,0.755375,0,1.78925,0.2500625,0.189375,0.189375,0.189375,0.7174375,0,1.61225,0,0
"CINA2A",24.2323125,7.19975,12.43525,20.1666875,4.3728125,5.0955,2.45,10.2815,0.7336875,0.428,0.2315,3.2395,1.798875,1.3695,0.2083125,2.0416875,0.73825,0.27175,0,0.2604375,0
"CINA2B",24.8355,16.334625,8.78075,12.543625,2.362875,17.115375,3.34725,0.5019375,0.7785,6.5006875,0.942875,0.2404375,0,0.3794375,0.463625,0,0,0.6133125,0.54525,0.4166875,1.126375
"CINA2C",25.8420625,13.5544375,8.5119375,14.52925,4.828375,9.42675,2.0190625,1.3231875,1.901375,7.5908125,0.8765625,0.8355,2.2985625,1.755125,0.970625,0,0.2083125,0.4310625,0,0,0.2840625
"CINA3A",20.1325,9.7526875,16.4298125,16.504,4.7169375,15.8170625,4.73725,3.196875,0.8579375,1.1311875,0.520875,0,1.2385625,0.483625,0,0,0.36525,1.592875,0,0,0
"CINA3B",22.95525,7.0856875,11.5305,17.6645625,10.4785625,5.2091875,2.34775,4.5533125,0.3125,1.3295625,0.3133125,0.2604375,4.4039375,1.8874375,3.355625,4.20675,0.396,0.3289375,0.138875,0.462125,0.145375
"CINA3C",31.9285625,9.1743125,4.8645,26.036625,3.06375,9.8889375,1.2468125,1.4995,1.9021875,4.062125,0.37625,1.088625,0.40175,0.1785625,1.30975,0.4100625,0,0.904375,0,0,0
"CINA4A",23.468125,19.6354375,3.117,8.459375,9.27725,15.0088125,1.47575,7.3459375,1.171,0.708875,1.2235,0.297625,0.368,1.401625,0.67375,0.297625,0.2155625,0.4470625,0,0.7373125,0.2315
"CINA4B",22.6158125,25.6984375,5.8073125,5.3591875,8.1514375,12.814875,1.472625,5.42275,0.3289375,1.473875,3.34825,0.1689375,0.6801875,0.6394375,2.365875,0.7315,0,0.657875,0,0,0.1301875
"CINA4C",31.96025,21.3814375,0.382375,10.753625,4.0920625,12.090625,1.1786875,2.483,0.4794375,1.027,2.4308125,3.5231875,0.93475,0.4670625,0,1.9769375,0.240375,0,0.7348125,0.3906875,0.27175
