"bi","cawt","form","hyd","msp10_sp","msp12_sp","msp15_sp","msp18_sp","msp19_sp","msp20_sp","msp24_sp","msp33_sp","msp3_sp","msp9_sp","root_barn","sowt","sp","tuni","miniacina_miniacea_.r.","miniacina_sp_.a.","miniacina_sp_.j.","parasmittina_margaritata","msp12_bryo","msp14_bryo","smittoidea_cautela","watersipora_subtorquata","smittipora_harmeriana","disporella_novaehollandiae","msp5_bryo","crisia_elongata","tubulipora_sp.","biofr","biofv","cyanob","msp10_ascc","msp10_ascs","msp11_ascs","msp15_ascc","msp16_ascc","msp1_ascc","msp1_ascs","msp22_ascc","msp24_ascc","msp2_ascc","msp2_ascs","msp3_ascs","msp4_ascc","msp5_ascc","msp5_ascs","msp6_ascc","msp6_ascs","msp8_ascc","msp9_ascc","msp9_ascs","X_brup","cca","grup","rdup"
0,29.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,0,0,11.111,0,0,0,0,3.704,0,0,0,0,3.704,0,3.704,18.519,0,0,0,0,0,0,3.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.519,0,3.704
0,3.448,0,6.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448,0,0,0,0,24.138,0,0,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.379,0,0
0,21.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.382,0,21.428,0,0,2.382,0,0,0,0,7.143,0,0,0,0,11.905,0,0,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.19,2.382,0
0,38.636,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,2.273,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.273,0,0
0,15.789,5.264,0,0,0,0,0,0,5.264,0,0,0,0,0,0,0,0,0,0,10.525,0,0,0,0,0,0,0,5.264,0,5.264,10.525,0,5.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.842,0,0
0,26.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.391,4.348,8.696,13.043,0,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,0,0,8.696,0,0,0,17.391,0,0
0,21.429,0,2.381,0,0,0,0,0,0,0,4.762,0,0,0,0,2.381,0,0,0,23.81,0,0,0,0,0,0,0,11.905,0,0,0,0,4.762,0,0,0,0,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.19,0,0
0,25,0,2.084,0,0,6.249,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,39.582,0,0,2.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084,0,0,2.084,16.667,0,0
0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
0,9.525,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,33.333,0,0,19.047,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,0,0,0,19.047,0,0
0,14.634,0,7.317,0,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,0,21.951,0,0,0,0,0,0,2.439,2.439,0,0,12.195,0,12.195,0,0,0,0,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.951,0,0
0,9.302,0,2.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.953,0,2.326,2.326,0,0,0,2.326,53.487,0,0,9.302,0,2.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326,0,0
0,24.138,0,6.896,0,0,0,0,0,0,0,0,0,0,0,3.449,0,0,0,0,0,0,0,0,0,0,0,0,0,3.449,0,13.793,3.449,13.793,0,0,0,0,0,3.449,0,0,0,0,0,0,0,0,3.449,0,0,0,0,0,0,20.689,0,3.449
4.762,9.523,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,14.285,0,4.762,19.048,9.523,9.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,14.285,0,0
0,19.512,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,4.878,0,2.439,0,19.512,0,0,0,0,0,0,0,0,0,0,7.317,0,17.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.829,0,0
0,26.086,0,2.174,0,4.348,0,0,4.348,0,0,0,0,0,0,0,2.174,0,6.521,0,4.348,0,0,0,0,0,0,2.174,2.174,0,0,17.392,2.174,2.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.912,0,0
0,10.526,0,26.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526,0,0,0,0,0,0,0,0,0,0,10.526,0,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.789,0,10.526
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,0
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
0,34.091,0,6.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.091,0,0,0,0,0,0,0,6.818,0,0,6.818,4.545,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.545,0,0
0,17.647,0,5.883,0,0,0,0,0,0,0,0,0,0,0,5.883,0,0,0,0,11.764,0,0,0,0,0,0,0,0,0,5.883,0,0,5.883,0,0,0,0,0,5.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.174,0,0
0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.852,0,0,11.111,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,0,0,0,3.704,0,0,0,14.815,0,0
0,37.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429,0,2.857,0,8.571,0,2.857,0,0,0,0,0,2.857,0,0,11.429,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
