"thresh";"c";"dnorm";"n_sp";"n_clust_sil";"penalty_min";"perc_zero"
"50";"0.832247667813965";"0.495425117822905";"6";"26";"7";"0"
"51";"0.832247667813965";"0.495425117822905";"6";"26";"7";"0"
"52";"0.832247667813965";"0.495425117822905";"6";"26";"7";"0"
"53";"0.808045153133919";"0.448074150930996";"7";"26";"7";"0.529100529100529"
"54";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"55";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"56";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"57";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"58";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"59";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"60";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"61";"0.825911351788584";"0.427544435458793";"8";"26";"7";"0.462962962962963"
"62";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"63";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"64";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"65";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"66";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"67";"0.797048682668767";"0.398838439792378";"9";"26";"9";"0.823045267489712"
"68";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"69";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"70";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"71";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"72";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"73";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"74";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"75";"0.768193243977133";"0.39186747952955";"10";"26";"6";"1.48148148148148"
"76";"0.768243985158698";"0.379977930141012";"11";"26";"5";"1.34680134680135"
"77";"0.799975966072044";"0.379973983019591";"12";"26";"6";"1.54320987654321"
"78";"0.799975966072044";"0.379973983019591";"12";"26";"6";"1.54320987654321"
"79";"0.775430174541701";"0.392512118861367";"13";"26";"7";"2.56410256410256"
"80";"0.775430174541701";"0.392512118861367";"13";"26";"7";"2.56410256410256"
"81";"0.775430174541701";"0.392512118861367";"13";"26";"7";"2.56410256410256"
"82";"0.764725919859329";"0.379852147688377";"14";"26";"7";"2.91005291005291"
"83";"0.764725919859329";"0.379852147688377";"14";"26";"7";"2.91005291005291"
"84";"0.74878025529628";"0.376367940827462";"15";"26";"6";"3.45679012345679"
"85";"0.729272435354933";"0.357163684511401";"17";"26";"7";"3.92156862745098"
"86";"0.729272435354933";"0.357163684511401";"17";"26";"7";"3.92156862745098"
"87";"0.712146109275199";"0.374543639780738";"19";"26";"7";"5.45808966861598"
"88";"0.67850587215123";"0.427299555040074";"21";"26";"6";"7.93650793650794"
"89";"0.67850587215123";"0.427299555040074";"21";"26";"6";"7.93650793650794"
"90";"0.663663535007449";"0.414190967813019";"22";"26";"5";"8.41750841750842"
"91";"0.680772509765035";"0.438724703326789";"26";"26";"6";"12.8205128205128"
"92";"0.656065968272782";"0.46520714572018";"29";"26";"4";"15.9642401021711"
"93";"0.61073675815183";"0.465205339780279";"31";"26";"4";"17.3237753882915"
"94";"0.61073675815183";"0.465205339780279";"31";"26";"4";"17.3237753882915"
"95";"0.664873714964999";"0.43893935835309";"35";"26";"5";"21.0582010582011"
"96";"0.624188323636856";"0.441372320591879";"37";"26";"5";"22.4224224224224"
"97";"0.648710684842459";"0.432044419810705";"42";"26";"4";"27.4250440917108"
"98";"0.684784251811217";"0.431581402548316";"48";"26";"5";"33.0246913580247"
"99";"0.665335924109597";"0.454412191194117";"62";"26";"4";"44.0860215053763"
"100";"0.692978917340516";"0.426192284749283";"92";"26";"5";"60.0644122383253"
