"pairs";"Df";"SumsOfSqs";"F.Model";"R2";"p.value";"p.adjusted";"sig"
"RUNA1 vs RUNA2";1;0,0952028293989949;2,5001937822711;0,384633730318969;0,1;0,1;""
"RUNA1 vs RUNA3";1;0,0490583297795087;0,864363357369241;0,177693008080858;0,6;0,6;""
"RUNA1 vs RUNA4";1;0,0688566287914212;1,91255776863422;0,323473840506088;0,1;0,1;""
"RUNA1 vs RUNA5";1;0,0711378279482139;1,81560535951888;0,312195420300851;0,2;0,2;""
"RUNA1 vs RUNA6";1;0,0852312579143757;2,08460160257682;0,342602809310308;0,1;0,1;""
"RUNA1 vs RUNA7";1;0,122446676482869;3,55024222645201;0,470215672553374;0,1;0,1;""
"RUNA1 vs RUNA8";1;0,126418774544875;2,69013364694989;0,40210461986456;0,1;0,1;""
"RUNA1 vs RUNA9";1;0,129354382185697;3,37118083272192;0,457346103592612;0,1;0,1;""
"RUNA2 vs RUNA3";1;0,0721771442092863;1,38300889339026;0,256921160782112;0,2;0,2;""
"RUNA2 vs RUNA4";1;0,0923162040557223;2,93680199379603;0,423365406194754;0,1;0,1;""
"RUNA2 vs RUNA5";1;0,0918038678008489;2,65227827733692;0,398702244067682;0,1;0,1;""
"RUNA2 vs RUNA6";1;0,125436022384223;3,45382542390589;0,463362800640433;0,1;0,1;""
"RUNA2 vs RUNA7";1;0,163190720308201;5,45395241406696;0,576896537574251;0,1;0,1;""
"RUNA2 vs RUNA8";1;0,153157941976905;3,61005503770627;0,474379622725353;0,1;0,1;""
"RUNA2 vs RUNA9";1;0,0976057230443492;2,8875272787951;0,419240049717849;0,1;0,1;""
"RUNA3 vs RUNA4";1;0,0588252625886828;1,17385967276415;0,226882781329284;0,3;0,3;""
"RUNA3 vs RUNA5";1;0,0685490419637222;1,28630019849629;0,243327119194287;0,3;0,3;""
"RUNA3 vs RUNA6";1;0,100809506038257;1,83301934837634;0,314248803046842;0,2;0,2;""
"RUNA3 vs RUNA7";1;0,104986116450136;2,16020918610766;0,350671401058799;0,1;0,1;""
"RUNA3 vs RUNA8";1;0,102238945297466;1,67320107587695;0,29493068436999;0,1;0,1;""
"RUNA3 vs RUNA9";1;0,0909052096584036;1,73215621582428;0,302182311612943;0,1;0,1;""
"RUNA4 vs RUNA5";1;0,0439785105307804;1,35162913511994;0,252564051243743;0,1;0,1;""
"RUNA4 vs RUNA6";1;0,0660801149728031;1,92978615271827;0,325439417715534;0,1;0,1;""
"RUNA4 vs RUNA7";1;0,0966435900163197;3,47067646269752;0,464573252506283;0,1;0,1;""
"RUNA4 vs RUNA8";1;0,115558048591439;2,86392237761766;0,417242827068752;0,1;0,1;""
"RUNA4 vs RUNA9";1;0,0841928389079946;2,65368814771456;0,398829654892386;0,1;0,1;""
"RUNA5 vs RUNA6";1;0,0668555254055335;1,78657083861984;0,308744313073329;0,1;0,1;""
"RUNA5 vs RUNA7";1;0,0933997390832565;3,01049621398367;0,42942697950235;0,1;0,1;""
"RUNA5 vs RUNA8";1;0,108052471402369;2,48233718583974;0,382938609127314;0,1;0,1;""
"RUNA5 vs RUNA9";1;0,0799628880042881;2,29082768304814;0,364153621505358;0,1;0,1;""
"RUNA6 vs RUNA7";1;0,12359681071701;3,77631391360979;0,485617473209336;0,1;0,1;""
"RUNA6 vs RUNA8";1;0,129578287005219;2,86466520086582;0,417305887037944;0,1;0,1;""
"RUNA6 vs RUNA9";1;0,108404171150993;2,96101621431255;0,425371256602506;0,1;0,1;""
"RUNA7 vs RUNA8";1;0,0655772831095089;1,68853188743516;0,296830873210853;0,1;0,1;""
"RUNA7 vs RUNA9";1;0,0719690038722786;2,38197407244265;0,373234683407444;0,1;0,1;""
"RUNA8 vs RUNA9";1;0,0604985815856487;1,41623689167449;0,261479865079654;0,1;0,1;""
